Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D12.5mm_W5.0mm_P7.50mm,1,AC-Coupling,
J1,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,Audio In,
J2,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,Audio Out,
RV1,PS45M0MC2BR10KN,1,Attenuator,
SW1,SW_PUSH_E-Switch_FS5700DP_DPDT,1,Mute,
